ItemRelationshipID,First_Item_ID,First_Item_Name,Second_Item_ID,Second_Item_Name,Relation_ID,Relation,Erudite,InverseErudite,IsPalindromic,IsTransitiveClosureSafe
41288,154,"Activated protein C resistance",29,Miscarriage,4,"Risk factor","is a risk factor for","has risk factors",False,False
19830,92,"Metabolic acidosis",87,Acidosis,3,"Cause-effect child-parent (subtype)","is a subtype of","has subtype(s)",False,True
19831,95,"Respiratory acidosis",87,Acidosis,3,"Cause-effect child-parent (subtype)","is a subtype of","has subtype(s)",False,True
245,325,Ethanol,92,"Metabolic acidosis",2,Cause-effect,"may cause","may be caused by",False,False
27357,171,"Acute intermittent porphyria",295,"Adverse drug reaction",26,"See also","see also","see also",True,False
295,171,"Acute intermittent porphyria",325,Ethanol,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
391,171,"Acute intermittent porphyria",512,Aminoglutethimide,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
11672,16,"AA amyloidosis",633,Amyloidosis,3,"Cause-effect child-parent (subtype)","is a subtype of","has subtype(s)",False,True
11721,315,"AL amyloidosis",633,Amyloidosis,3,"Cause-effect child-parent (subtype)","is a subtype of","has subtype(s)",False,True
23515,276,"Holmes-Adie syndrome",724,Anisocoria,2,Cause-effect,"may cause","may be caused by",False,False
24495,64,Acetazolamide,866,"Aplastic anemia",2,Cause-effect,"may cause","may be caused by",False,False
41,55,Acanthamoeba,945,"Aseptic meningitis",2,Cause-effect,"may cause","may be caused by",False,False
23938,72,"Esophageal achalasia",979,"Gastric content aspiration",2,Cause-effect,"may cause","may be caused by",False,False
34956,64,Acetazolamide,985,Aspirin,12,Interaction,"interacts with","interacts with",True,False
247,325,Ethanol,1065,"Atrial fibrillation",2,Cause-effect,"may cause","may be caused by",False,False
39825,145,Actinomycosis,1132,"Atypical pneumonia",2,Cause-effect,"may cause","may be caused by",False,False
248,325,Ethanol,1173,"Autonomic neuropathy, peripheral",2,Cause-effect,"may cause","may be caused by",False,False
31503,325,Ethanol,1174,"Aseptic necrosis of bone",2,Cause-effect,"may cause","may be caused by",False,False
34957,420,Allopurinol,1183,Azathioprine,12,Interaction,"interacts with","interacts with",True,False
923,171,"Acute intermittent porphyria",1231,Barbiturates,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
343,448,"Alpha thalassemia trait",1268,"Basophilic stippling",2,Cause-effect,"may cause","may be caused by",False,False
984,171,"Acute intermittent porphyria",1309,Bendrofluazide,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
22316,100,"Acoustic neuroma",1578,"Intracranial space-occupying lesion",2,Cause-effect,"may cause","may be caused by",False,False
50,69,Acetylcysteine,1715,Bronchospasm,2,Cause-effect,"may cause","may be caused by",False,False
195,256,Adenosine,1715,Bronchospasm,2,Cause-effect,"may cause","may be caused by",False,False
363,472,"Shaver disease",1715,Bronchospasm,2,Cause-effect,"may cause","may be caused by",False,False
1438,171,"Acute intermittent porphyria",1984,Carbamazepine,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
86,114,"Growth hormone secreting pituitary adenoma",2137,Cardiomyopathy,2,Cause-effect,"may cause","may be caused by",False,False
249,325,Ethanol,2137,Cardiomyopathy,2,Cause-effect,"may cause","may be caused by",False,False
87,114,"Growth hormone secreting pituitary adenoma",2156,"Carpal tunnel syndrome",2,Cause-effect,"may cause","may be caused by",False,False
348,454,"Alport syndrome",2179,Cataracts,2,Cause-effect,"may cause","may be caused by",False,False
